,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MacroF1Act,time:timestamp_mae,lr,batch_size,heads,hid,layers,aggregation
27,27,27_0,COMPLETED,BoTorch,1.407457660703409,0.5417208075523376,0.23793484270572662,0.03511405898438346,0.00017863498900411826,128,1,128,2,max
35,35,35_0,COMPLETED,BoTorch,1.4098063687523525,0.2347283661365509,0.16356782615184784,0.03940911825385786,0.0008992455869879005,512,1,128,2,max
91,91,91_0,COMPLETED,BoTorch,1.4158427182945512,0.6054068207740784,0.26259082555770874,0.04287363889236604,0.001593531742761808,128,1,128,2,max
25,25,25_0,COMPLETED,BoTorch,1.417493439970478,0.6002079248428345,0.2772502303123474,0.1957042952699046,0.01234758666027003,128,2,128,2,max
77,77,77_0,COMPLETED,BoTorch,1.4206044622246297,0.28957629203796387,0.1560181826353073,0.051032563010531086,0.0019629863397760765,128,2,128,2,max
4,4,4_0,COMPLETED,Sobol,1.429587942638224,0.3246685862541199,0.20658089220523834,0.05887360888863764,0.0010138939569658027,512,2,128,2,max
55,55,55_0,COMPLETED,BoTorch,1.4299131593396586,0.2924356758594513,0.18047581613063812,0.051606145597273306,0.001430433755168167,128,1,128,2,max
5,5,5_0,COMPLETED,Sobol,1.4422520706730504,0.6667532920837402,0.24824750423431396,0.12419022475519488,0.0039125900358181875,128,1,128,2,max
24,24,24_0,COMPLETED,BoTorch,1.445748149207042,0.2947751581668854,0.20238856971263885,0.04278820254389317,0.0012193812330646106,512,1,128,2,max
7,7,7_0,COMPLETED,BoTorch,1.4465042929495535,0.2464257925748825,0.17855140566825867,0.2617439709363445,0.1,512,2,128,2,max
3,3,3_0,COMPLETED,Sobol,1.4529877987600142,0.31557056307792664,0.18650402128696442,0.1071056233298394,0.0020553520010210082,256,2,128,2,max
66,66,66_0,COMPLETED,BoTorch,1.462253645302788,0.5489991903305054,0.24306620657444,0.13732307356211446,0.0032008298128265804,256,2,128,2,max
